seq,data,donatore,token,importo_token,valore_usd,n_dual,posizioni_cassa,posizioni_human
1,2026-06-01 17:33:13,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,USDC,20.0,20.0,1,1,2
2,2026-06-01 18:18:19,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,USDC,20.0,20.0,1,3,4
3,2026-06-08 17:27:04,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,XAUt0,0.017112,73.58,4,"5,7,9,11","6,8,10,12"
4,2026-06-08 18:21:48,0x00c8aaad7cbf1a729febf67afb3915443dac7b68,USDC,20.0,20.0,1,13,14
5,2026-06-12 16:15:49,0x31302a0cda10c72c66841ad37f48df399a982790,USDC,20.0,20.0,1,15,16
6,2026-06-13 11:26:54,0xea16449b7feb9db4313acc8315daf99d215eeeb5,USDC,20.0,20.0,1,17,18
7,2026-06-13 15:31:18,0xf04c8bd249ba7cbebda774ed6c0400dfcb7778c0,USDC,20.0,20.0,1,19,20
8,2026-06-13 15:40:04,0x060aa41af9edacfd5d3482615b753dd7409e0ebd,USDC,80.0,80.0,4,"21,23,25,28","22,24,27,29"
9,2026-06-14 08:46:49,0x230527653ca927d5221b652ec25289218e782b8c,XAUt0,0.008556,36.02,2,"30,32","31,33"
10,2026-06-14 09:51:04,0x8ae0e34e151598d496070d45024515e2ab213587,USDC,40.0,40.0,2,"34,36","35,37"
11,2026-06-14 10:09:27,0x0d224cf39761fc2d216f57f4d398b4eee07624bf,USDC,20.0,20.0,1,38,39
12,2026-06-14 10:16:43,0xb20d1d6358d1ae9250c20916d635156ffc3f4e0c,USDC,20.0,20.0,1,41,42
13,2026-06-14 10:16:57,0x2374d927a5a6963ff1dd9844f619cd85b544e93b,USDC,20.0,20.0,1,43,44
14,2026-06-14 10:21:37,0x76c476f93a1cd46df61d7b1a57796a1dd1ad29c9,USDC,20.0,20.0,1,45,46
15,2026-06-14 10:24:09,0x49a52bdf0b85b39d1779637141271519d4fcfaca,USDC,20.0,20.0,1,47,48
16,2026-06-14 11:28:30,0xf13802ad194c9d50509a9fd076dd8d939bed30dd,USDC,20.0,20.0,1,49,50
17,2026-06-14 12:00:09,0xc2038b49500b52cdad3b59c736315de643b78ede,USDC,120.0,120.0,6,"51,53,56,58,60,62","52,55,57,59,61,63"
18,2026-06-14 12:40:25,0x889358bf9f59024bff7d7c22aa012d0129c9f6db,USDC,80.0,80.0,4,"64,66,73,75","65,67,74,76"
19,2026-06-14 12:42:43,0xca9f6924b98fedd68712aa878aca723b31c81965,XAUt0,0.01,42.1,2,"69,71","70,72"
20,2026-06-14 13:07:48,0x9ca3bb287ffbc6138926eaac8828e976c3f77146,XAUt0,0.01,42.1,2,"77,79","78,80"
21,2026-06-14 13:23:06,0xf22a66b15e151fca5dedd753f5f8827f93f8b481,USDC,40.0,40.0,2,"81,84","83,85"
22,2026-06-14 13:32:16,0xe7adcec177220536263abebba5bb27777f8b5c2f,USDC,40.0,40.0,2,"86,88","87,89"
23,2026-06-14 13:46:15,0x1c43db0b0fde9178c7b65dfcf3d4d45019267be6,USDC,40.0,40.0,2,"90,92","91,93"
