posizione,tipo,wallet,tavola,casella,erede_di_tavola,data,tx_hash,token,importo_token,valore_usd,n_dual_donazione,dual_ordinale,emissione_dono,note
0,FONDO,0x49b21573d1aea396cdb6d2b9d8c8bd5bb25645a4,,,1,(genesi),,,,,,,"500 USDC (1o dono, tx 0x1ae343..., 2026-06-22)",Genesi: erede/centro tavola 1
1,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,1,1,2,2026-06-01 17:33:13,0x09b74d8785f0ffaf1abd2d77335d5db5eab9eaf64f4244e1ec2f5276b1496ee0,USDC,20.0,20.0,1,1,,
2,HUMAN,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,1,2,3,2026-06-01 17:33:13,0x09b74d8785f0ffaf1abd2d77335d5db5eab9eaf64f4244e1ec2f5276b1496ee0,USDC,20.0,20.0,1,1,,
3,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,1,3,4,2026-06-01 18:18:19,0x753a6b0203c47c132722e44a5a8841006f064909745c12acaba6d1ec5a6abc73,USDC,20.0,20.0,1,1,,
4,HUMAN,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,1,4,5,2026-06-01 18:18:19,0x753a6b0203c47c132722e44a5a8841006f064909745c12acaba6d1ec5a6abc73,USDC,20.0,20.0,1,1,,
5,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,1,5,6,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,1,,
6,HUMAN,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,1,6,7,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,1,,
7,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,2,1,8,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,2,,
8,HUMAN,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,2,2,9,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,2,,
9,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,2,3,10,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,3,,
10,HUMAN,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,2,4,11,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,3,,
11,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,2,5,12,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,4,,
12,HUMAN,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,2,6,13,2026-06-08 17:27:04,0xaaa40a71f4a0f37a0a46266b2a595e0731476c49cb1e9aec3f2c8679d003c3c8,XAUt0,0.017112,73.58,4,4,,
